population	id_pl	bud_h	shoot_h	veg_h_min	veg_h_max	veg_h_mean	diff_veg_h_max_shoot_h	diff_veg_h_mean_shoot_h	a	b	c	d	e	f	n_fl	phen_index	most_adv	phen_index_p	most_adv_p	fr_int_h_max	fr_pred_h_max	n_intact_fruits	n_predated_fr	n_fruits_total	n_predated	fruit_set	n_fl_corrected	n_eggs_max	n_redants	n_blackants	dist_closest_redants	dist_closest_redants1	days_datalog	avg_d_mean	avg_d_sd	avg_d_min	avg_d_max	avg_d_range	avg_day_mean	avg_day_sd	avg_day_min	avg_day_max	avg_day_range	avg_d_mean_ja	avg_d_sd_ja	avg_d_min_ja	avg_d_max_ja	avg_d_range_ja	avg_day_mean_ja	avg_day_sd_ja	avg_day_min_ja	avg_day_max_ja	avg_day_range_ja
Tånga Hed	T_15_056	30,8	38	10	50	30	12	-8	2	12	2	1	0	0	17	2,117647059	4	3,680672269	6,952380952	47,2	39,3	15	0	15	0	0,882352941	17	0	20	0	138	0	33	15,8636364	2,24241832	13,030303	19,3484848	6,31818182	17,1030303	1,76398443	14,8030303	19,3484848	4,54545455	16,1381579	2,30347462	13,2105263	19,6315789	6,42105263	17,4210526	1,7718675	15,0789474	19,6315789	4,55263158
Tånga Hed	T_15_057	29,8	18,5	10	20	15	1,5	-3,5	0	2	3	1	0	0	6	2,833333333	4	4,924603175	6,952380952	38	45,4	4	2	6	2	1	6	4	1	2	80	0	33	17,0454545	3,67431466	12,8636364	23,5757576	10,7121212	19,0030303	3,14487266	15,6212121	23,5757576	7,95454545	17,2467105	3,61319896	13,0526316	23,5	10,4473684	19,1947368	3,01001477	15,8947368	23,5	7,60526316
Tånga Hed	T_15_058	11,8	14	5	5	5	-9	-9	3	1	0	0	0	0	4	1,25	2	2,172619048	3,476190476	36,5	33,3	1	0	1	0	0,2	5	2	13	1	52	0	33	16,6344697	2,90943861	13,3787879	21,6818182	8,3030303	18,030303	2,73050147	14,8333333	21,6818182	6,84848485	16,9473684	3,0304613	13,5526316	22,0789474	8,52631579	18,4263158	2,79110515	15,1578947	22,0789474	6,92105263
Tånga Hed	T_15_059	18	18	15	15	15	-3	-3	1	2	1	0	0	0	4	2	3	3,476190476	5,214285714	40,4		3	0	3	0	0,75	4	0	35	1	48	0	33	16,8674242	2,03087788	14,3636364	20,1060606	5,74242424	18	1,60556552	16,030303	20,1060606	4,07575758	17,0723684	2,08707921	14,5263158	20,3684211	5,84210526	18,2368421	1,64523219	16,1315789	20,3684211	4,23684211
Tånga Hed	T_15_060	21,5	24	22	22	22	-2	-2	2	2	1	0	0	0	5	1,8	3	3,128571429	5,214285714	34,4		3	0	3	0	0,6	5	4	20	10	48	0	33	16,1534091	1,92765331	13,7272727	19,030303	5,3030303	17,2484848	1,45859915	15,4090909	19,030303	3,62121212	16,3190789	2,03607794	13,7631579	19,3157895	5,55263158	17,4842105	1,5088149	15,5526316	19,3157895	3,76315789
Tånga Hed	T_15_061	23,5	23	10	10	10	-13	-13	1	0	3	0	0	0	4	2,5	3	4,345238095	5,214285714	37,5	30,6	3	1	4	1	1	4	3	9	0	14	0	33	16,9337121	2,12485313	14,1060606	20,1515152	6,04545455	18,0878788	1,65472294	15,8787879	20,1515152	4,27272727	17,1052632	2,25377776	14,1842105	20,4210526	6,23684211	18,3157895	1,76852554	15,8947368	20,4210526	4,52631579
Tånga Hed	T_15_062	27,4	18	15	15	15	-3	-3	0	1	2	0	0	0	3	2,666666667	3	4,634920635	5,214285714	40,4		3	0	3	0	1	3	0	6	1	14	0	33	16,9337121	2,12485313	14,1060606	20,1515152	6,04545455	18,0878788	1,65472294	15,8787879	20,1515152	4,27272727	17,1052632	2,25377776	14,1842105	20,4210526	6,23684211	18,3157895	1,76852554	15,8947368	20,4210526	4,52631579
Tånga Hed	T_15_063	32,4	31	20	20	20	-11	-11	0	2	4	1	0	0	7	2,857142857	4	4,965986395	6,952380952	46,4	52	4	2	6	3	0,857142857	7	4	25	0	60	0	33	15,6306818	1,40919824	13,6060606	17,4242424	3,81818182	16,4	1,0337037	14,969697	17,4242424	2,45454545	15,8552632	1,50984751	13,7631579	17,7894737	4,02631579	16,6684211	1,13441098	15,0789474	17,7894737	2,71052632
Tånga Hed	T_15_064	15,2	19,2	15	15	15	-4,2	-4,2	2	1	0	0	0	0	3	1,333333333	2	2,317460317	3,476190476	37,7		1	0	1	1	0,333333333	3	3	1	4	500	0	33	16,4318182	1,94939435	13,9090909	19,1060606	5,1969697	17,4848485	1,5537149	15,1969697	19,1060606	3,90909091	16,7467105	2,07668231	14,0789474	19,5789474	5,5	17,8842105	1,61745636	15,5263158	19,5789474	4,05263158
Tånga Hed	T_15_065	32,3	29,5	10	45	27,5	15,5	-2	2	4	4	1	0	0	11	2,363636364	4	4,108225108	6,952380952	47,5	39,1	1	1	2	3	0,181818182	11	26	22	20	60	0	33	16,6647727	2,67780513	13,1666667	20,1818182	7,01515152	18,2060606	1,95372289	15,5151515	20,1818182	4,66666667	17,0361842	2,78833304	13,4210526	20,6578947	7,23684211	18,6526316	2,00043225	15,8421053	20,6578947	4,81578947
