"id_pl"	"population"	"shoot_h"	"veg_h_mean"	"n_intact_fruits"	"n_eggs_max"	"n_redants"	"pop"	"meanT"	"maxT"	"minT"	"sdT"	"rangeT"	"a1"	"b1"	"c1"	"d1"	"e1"	"f1"	"n_fl1"	"phen_index1"	"most_adv1"	"a2"	"b2"	"c2"	"d2"	"e2"	"f2"	"n_fl2"	"phen_index2"	"most_adv2"	"n_fl"	"julian1"	"julian2"
"67"	"H_15_108"	"Högsjön"	28	40	0	6	2	"H"	15.4595744680851	16.6595744680851	14.3085106382979	0.946663792253331	2.35106382978723	3	0	0	0	0	0	3	1	1	1	0	1	0	0	1	3	3.333333333	6	3	211	241
"68"	"H_15_109"	"Högsjön"	31	40	0	6	1	"H"	15.4276595744681	16.7659574468085	14.3404255319149	0.962480471293382	2.42553191489362	2	1	0	0	0	0	3	1.333333333	2	0	1	1	1	0	0	3	3	4	3	211	241
"69"	"H_15_110"	"Högsjön"	32	40	0	14	1	"H"	14.8595744680851	16.0425531914894	13.8829787234043	0.87680347343007	2.15957446808511	3	1	0	0	0	0	4	1.25	2	0	0	1	2	0	1	4	4.25	6	4	211	241
"70"	"H_15_111"	"Högsjön"	27	50	0	0	2	"H"	14.0978723404255	14.5851063829787	13.3404255319149	0.527021457602354	1.24468085106383	2	0	0	0	0	0	2	1	1	0	0	0	1	0	0	1	4	4	2	211	241
"71"	"H_15_113"	"Högsjön"	26.5	50	1	0	12	"H"	15.6021276595745	16.7446808510638	14.5851063829787	0.884638693677234	2.15957446808511	2	1	0	0	0	0	3	1.333333333	2	0	0	2	0	1	0	3	3.666666667	5	3	211	241
"72"	"H_15_117"	"Högsjön"	30	50	0	29	20	"H"	14.7297872340426	15.6595744680851	13.7127659574468	0.787783676057529	1.9468085106383	1	3	0	0	0	0	4	1.75	2	0	0	0	0	0	3	3	6	6	4	211	241
"73"	"H_15_118"	"Högsjön"	17	40	0	14	20	"H"	15.7276595744681	17.3723404255319	14.2872340425532	1.25349382359467	3.08510638297872	1	1	0	0	0	0	2	1.5	2	0	1	0	0	0	1	2	4	6	2	211	241
"74"	"H_15_119"	"Högsjön"	12.5	25	0	4	11	"H"	15.136170212766	15.7553191489362	14.2127659574468	0.631018664951048	1.54255319148936	2	0	0	0	0	0	2	1	1	1	0	1	0	0	0	2	2	3	2	211	241
"75"	"H_15_120"	"Högsjön"	21	25	0	6	7	"H"	15.2340425531915	16.3723404255319	14.063829787234	0.952218025661838	2.30851063829787	3	0	0	0	0	0	3	1	1	0	0	2	0	0	1	3	4	6	3	211	241
"76"	"H_15_121"	"Högsjön"	20	25	0	14	7	"H"	15.5234042553191	17.1808510638298	14.3723404255319	1.12586171183856	2.80851063829787	1	2	0	0	0	0	3	1.666666667	2	1	0	2	0	0	0	3	2.333333333	3	3	211	241
"77"	"H_15_122"	"Högsjön"	14	37.5	0	0	1	"H"	15.8340425531915	17.4574468085106	14.6489361702128	1.11086703566864	2.80851063829787	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	5	5	1	211	241
"78"	"H_15_123"	"Högsjön"	15	37.5	1	0	1	"H"	16.1063829787234	17.8617021276596	14.7978723404255	1.21131591776316	3.06382978723404	0	1	0	0	0	0	1	2	2	0	0	0	1	0	0	1	4	4	1	211	241
"79"	"H_15_124"	"Högsjön"	21	27.5	1	6	8	"H"	16.3106382978723	17.968085106383	14.6702127659574	1.3361367901692	3.29787234042553	2	0	0	0	0	0	2	1	1	0	0	0	0	1	0	1	5	5	2	211	241
"80"	"H_15_125"	"Högsjön"	18	50	0	0	0	"H"	15.6127659574468	16.531914893617	14.531914893617	0.842468134385765	2	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	3	3	1	211	241
"81"	"H_15_128"	"Högsjön"	25	30	0	13	4	"H"	15.5531914893617	16.6382978723404	14.3191489361702	0.916569696585597	2.31914893617021	1	2	0	0	0	0	3	1.666666667	2	0	0	1	0	0	1	2	4.5	6	3	211	241
"82"	"H_15_129"	"Högsjön"	26	30	0	13	2	"H"	16.168085106383	18.3723404255319	14.2978723404255	1.62932768384168	4.07446808510638	3	1	0	0	0	0	4	1.25	2	0	1	1	1	0	0	3	3	4	4	211	241
"83"	"H_15_132"	"Högsjön"	22	25	1	4	5	"H"	14.9574468085106	15.7021276595745	13.9042553191489	0.748389948359237	1.79787234042553	2	0	0	0	0	0	2	1	1	0	0	1	0	0	1	2	4.5	6	2	211	241
"84"	"H_15_133"	"Högsjön"	21	40	0	11	40	"H"	18.1936170212766	20.031914893617	16.3617021276596	1.51184474565865	3.67021276595745	3	0	0	0	0	0	3	1	1	0	1	1	0	0	0	2	2.5	3	3	211	241
"85"	"H_15_134"	"Högsjön"	18	17.5	0	1	1	"H"	16.3893617021277	18.3829787234043	14.8829787234043	1.3903271636936	3.5	1	1	0	0	0	0	2	1.5	2	1	0	0	0	0	1	2	3.5	6	2	211	241
"86"	"H_15_135"	"Högsjön"	23	30	0	2	15	"H"	16.3595744680851	18.3723404255319	14.7446808510638	1.437673543284	3.62765957446809	1	1	0	0	0	0	2	1.5	2	1	0	0	0	0	1	2	3.5	6	2	211	241
"87"	"H_15_137"	"Högsjön"	24	40	0	5	21	"H"	15.8063829787234	16.5744680851064	14.5957446808511	0.794730283591932	1.97872340425532	0	1	0	0	0	0	1	2	2	0	0	0	0	0	1	1	6	6	1	211	241
"88"	"H_15_138"	"Högsjön"	19	30	0	0	2	"H"	16.2425531914894	17.1914893617021	14.9148936170213	0.953709644394627	2.27659574468085	0	1	0	0	0	0	1	2	2	0	0	0	0	1	0	1	5	5	1	211	241
"89"	"H_15_139"	"Högsjön"	21.5	45	0	0	16	"H"	14.8255319148936	15.4468085106383	14.031914893617	0.593124639858433	1.41489361702128	3	1	0	0	0	0	4	1.25	2	0	2	1	1	0	0	4	2.75	4	4	211	241
"90"	"H_15_140"	"Högsjön"	23	40	0	2	7	"H"	15.5446808510638	16.5106382978723	14.6276595744681	0.758386782206722	1.88297872340426	3	0	0	0	0	0	3	1	1	1	1	0	0	0	0	2	1.5	2	3	211	241
"91"	"H_15_141"	"Högsjön"	24	40	0	0	4	"H"	15.636170212766	16.6382978723404	14.7021276595745	0.800209271396398	1.93617021276596	4	0	0	0	0	0	4	1	1	1	1	0	0	0	0	2	1.5	2	4	211	241
"92"	"H_15_142"	"Högsjön"	34	45	0	2	2	"H"	15.2425531914894	16.0106382978723	14.0531914893617	0.800034672866964	1.95744680851064	3	0	0	0	0	0	3	1	1	0	0	2	0	0	1	3	4	6	3	211	241
"93"	"H_15_143"	"Högsjön"	15.5	35	0	9	6	"H"	15.2212765957447	15.8936170212766	14.2234042553191	0.692873161071677	1.67021276595745	0	1	0	0	0	0	1	2	2	0	0	0	1	0	0	1	4	4	1	211	241
"94"	"H_15_144"	"Högsjön"	17	25	0	0	15	"H"	15.3404255319149	16.2340425531915	14.5212765957447	0.694586485284256	1.71276595744681	1	1	0	0	0	0	2	1.5	2	1	0	0	0	1	0	2	3	5	2	211	241
